symbol,name,asset_class,portfolio_bucket,sector,latest_price,previous_close,as_of_date,source
VXUS,Vanguard Total International Stock ETF,international_etf,International Diversified,International Equity,62.70,62.10,2026-05-02,syndicated_csv
VWO,Vanguard FTSE Emerging Markets ETF,international_etf,International Diversified,Emerging Markets,42.80,42.30,2026-05-02,syndicated_csv
TIP,iShares TIPS Bond ETF,bond_etf,Inflation Shield,Inflation Protected Bond,107.50,107.10,2026-05-02,syndicated_csv
GLD,SPDR Gold Shares,etf,Real Assets,Commodities,214.90,213.40,2026-05-02,syndicated_csv
SLV,iShares Silver Trust,etf,Real Assets,Commodities,25.40,25.10,2026-05-02,syndicated_csv
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,bond_etf,Short Treasury,Ultrashort Bond,91.60,91.50,2026-05-02,syndicated_csv
SHV,iShares Short Treasury Bond ETF,bond_etf,Short Treasury,Ultrashort Bond,110.20,110.00,2026-05-02,syndicated_csv
TLT,iShares 20+ Year Treasury Bond ETF,bond_etf,Core Bonds,Long Treasury,92.30,91.90,2026-05-02,syndicated_csv
IEF,iShares 7-10 Year Treasury Bond ETF,bond_etf,Core Bonds,Intermediate Treasury,94.80,94.50,2026-05-02,syndicated_csv
ITOT,iShares Core S&P Total U.S. Stock Market ETF,etf,Diversified Equity,Broad Market,124.40,123.80,2026-05-02,syndicated_csv
SPLG,SPDR Portfolio S&P 500 ETF,etf,Diversified Equity,Large Blend,63.10,62.80,2026-05-02,syndicated_csv
DGRO,iShares Core Dividend Growth ETF,etf,Income ETF,Large Blend,57.40,57.00,2026-05-02,syndicated_csv
QUAL,iShares MSCI USA Quality Factor ETF,etf,Factor ETF,Large Blend,168.70,167.60,2026-05-02,syndicated_csv
USMV,iShares MSCI USA Min Vol Factor ETF,etf,Factor ETF,Large Blend,83.60,83.10,2026-05-02,syndicated_csv
IEMG,iShares Core MSCI Emerging Markets ETF,international_etf,International Diversified,Emerging Markets,53.10,52.70,2026-05-02,syndicated_csv
NAVN,Navana Networks Inc.,stock,US Growth,Technology,18.00,17.60,2026-05-02,syndicated_csv
